Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Perennial,Phytolacca americana,25,5,20,0.3,3,600,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK fertilizer"",""Compost""]",4,96,36,0.5,phytolacca americana
Evergreen tree,Pinus nigra,15,5,10,0.3,3,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""Balkans""]","[""Spring"",""Summer""]",40,35,20,72,"[""Slow-release granular fertilizer"",""Organic compost""]",8,120,100,1,pinus nigra
Fruit Tree,Prunus cerasus,15.6,3.1,12.8,0.25,4.2,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,360,144,1,prunus cerasus
Tree,Prunus avium,15,5,18,0.3,2,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,120,100,6,prunus avium
Perennial flowering plant,Kitaibelia vitifolia,20,5,15,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,kitaibelia vitifolia
Vine,Actinidia sp.,20,5,18,0.3,3,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,24,"[""Nitrogen-based"",""Potassium-based"",""Phosphorus-based""]",4,120,100,1,actinidia sp.
Perennial,Proboscidea louisianica,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Southern United States"",""Mexico"",""Central America""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,36,1,proboscidea louisianica
Herbaceous Perennial,Arctium minus,15,5,12,0.3,3,18000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,60,12,0.5,arctium minus
Annual Plant,Scleranthus annuus,18,5,15,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,6,12,0.2,scleranthus annuus
Herbaceous perennial,Alliaria petiolata,22,5,18,0.3,3,6000,60,"[""Well-drained soil"",""Loamy soil""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Compost"",""Organic fertilizer""]",4,36,12,0.2,alliaria petiolata
Herbaceous perennial,Apium nodiflorum,20,5,18,0.35,4,6000,70,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,30,24,"[""Compost"",""Organic fertilizers""]",4,24,12,0.5,apium nodiflorum
Perennial,Polygonum multiflorum,20,5,18,0.3,4,3600,60,"[""Loam"",""Silt"",""Clay""]","[""China"",""Japan"",""Korea""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,polygonum multiflorum
Herb,Persicaria odorata,25,5,20,0.5,3,24000,70,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Fish emulsion""]",4,24,12,1,persicaria odorata
Annual,Cuphea Viscosissima,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""Southern United States"",""Mexico"",""Central America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,1,cuphea viscosissima
Vegetable,Brassica oleracea var. capitata,18,5,15,0.4,4,300,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Cool temperate regions"",""Coastal areas""]","[""Spring"",""Fall""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,30,18,0.5,brassica oleracea var. capitata
Vegetable,Brassica Carinata,25 °C,5 mm,20 °C,0.3 m³/m³,4 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Africa"",""Asia"",""South America""]","[""Start of summer"",""Rainy season""]",30 km/h,35 °C,50 mm,48 hours,"[""NPK"",""Compost""]",4 weeks,36 in,12 in,1 in,brassica carinata
Vegetable,Brassica oleracea var. botrytis,10 - 20,2 - 5,10 - 15,0.2 - 0.4,3 - 5,4 - 6,50 - 70,"[""Sandy loam"",""Loam"",""Clay""]","[""Temperate regions"",""Cool climates""]","[""Spring"",""Fall""]",20,25,30,24 - 48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4 - 6,24 - 36,12 - 18,0.5 - 1,brassica oleracea var. botrytis
Vegetable,Brassica rapa ssp. chinensis,20,5,18,0.3,3,3600,60,"[""Loamy"",""Sandy"",""Clayey""]","[""China"",""Japan"",""Korea""]","[""Spring"",""Autumn""]",30,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,1,brassica rapa  ssp. chinensis
Vegetable,Brassica oleracea var. gemmifera,18,3,15,0.3,4,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Cool temperate regions"",""Mediterranean climates""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,brassica oleracea var. gemmifera
Crop,Brassica napus var. pabularia = var. napus,15,5,12,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,24,2,brassica napus var. pabularia = var. napus
Vegetable,Brassica oleracea var. sabauda,18,5,15,0.3,4,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Cool temperate regions"",""Mediterranean climates""]","[""Start of spring"",""Early autumn""]",40,30,20,48,"[""NPK fertilizer"",""Compost""]",2,24,12,0.5,brassica oleracea var. sabauda
Vegetable,Brassica oleracea var. gongylodes,10-25,5-10,15-20,0.3-0.5,3-5,3000-4000,50-70,"[""Sandy loam"",""Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",30,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4-6,12-16,12x12,0.5-1,brassica oleracea var. gongylodes
Perennial,Gaillardia x Grandiflora,20,5,15,0.3,3,300,50,"[""Sandy loam"",""Well-drained""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,gaillardia x grandiflora
Perennial Flowering Plant,Verbascum densiflorum,15 - 25,2 - 5,10 - 20,0.15 - 0.25,3 - 5,6 - 8,40 - 60,"[""Well-drained"",""Sandy"",""Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4 - 6,36,12,0.25,verbascum densiflorum
Perennial,Verbascum speciosum,18.5,2.5,15.2,0.3,3.1,28000,55,"[""Well-drained sandy loam"",""Loamy soil""]","[""Sunny open areas"",""Rock gardens"",""Dry meadows""]","[""Spring"",""Summer"",""Autumn""]",45,32,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,24,0.2,verbascum speciosum
Perennial,Verbascum Blattaria,20,5,18,0.3,4,6000,50,"[""Well-drained sandy loam"",""Loamy soil"",""Clay soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,72,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,12,0.2,verbascum blattaria
Perennial,Verbascum nigrum,20,5,15,0.3,3,3600,50,"[""Well-drained soil"",""Sandy soil""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,48,24,0.2,verbascum nigrum
Perennial,Verbascum bakerianum,20,3,18,0.25,2,6000,50,"[""Well-drained soil"",""Sandy soil""]","[""Mediterranean regions"",""Southwestern United States""]","[""Late spring"",""Summer"",""Early fall""]",35,35,20,72,"[""Organic compost"",""All-purpose liquid fertilizer""]",4,48,36,0.5,verbascum bakerianum
Perennial,Verbascum sp.,20,5,15,0.3,4,6000,50,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""North America"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,48,12,0.5,verbascum sp.
Flowering plant,Agrostemma linicola,20,5,18,0.3,3,6000,50,"[""Loam"",""Sandy loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,12,0.5,agrostemma linicola
Flowering Plant,Cosmos Sulphurus,25,5,20,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Full Sun"",""Well-drained soil""]","[""Spring"",""Summer""]",30,35,50,48,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4,36,12,0.5,cosmos sulphurus
Perennial,Rubia Tinctorum,18,5,15,0.3,4,3600,60,"[""Loamy"",""Clayey""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,35,15,48,"[""Organic compost"",""Bone meal""]",8,48,12,0.5,rubia tinctorum
Aquatic plant,Stratiotes aloides,22,5,18,0.8,4,6000,70,"[""Silt"",""Clay"",""Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Seaweed extract""]",4,6,24,2,stratiotes aloides
Herbaceous perennial,Lepidium graminifolium,20-25,5-10,15-20,0.2-0.4,2-4,2000-2500,50-70,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Coastal regions"",""Mediterranean regions""]","[""Spring"",""Autumn""]",25-35,35-40,50-100,12-24,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4-6,12-18,24-30,0.5-1,lepidium graminifolium
Flowering Plant,Lepidium Neglectum,20,5,18,0.2,3,6000,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,12,0.5,lepidium neglectum
Herbaceous plant,Lepidium virginicum,20,5,15,0.2,3,5000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Start of spring"",""Summer"",""Autumn""]",40,35,50,72,"[""NPK fertilizer"",""Organic compost""]",4,30,24,0.5,lepidium virginicum
Perennial,Ballota pseudodictamnus,20,5,18,0.3,2,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Spring"",""Summer""]",30,40,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,36,0.5,ballota pseudodictamnus
Shrub,Rhamnus sp.,20,5,18,0.4,3,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,120,36,0.5,rhamnus sp.
Herb,Cumin,25,3,20,0.3,4,6000,60,"[""Sandy loam"",""Silty loam"",""Loamy soil""]","[""India"",""Iran"",""Syria""]","[""Start of summer"",""Monsoon season""]",40,40,20,48,"[""NPK 10-10-10"",""Compost""]",4,30,12,0.5,cuminum cyminum
Succulent,"Senecio Serpens, Syn. Kleinia Repens",20,2,18,0.3,4,3600,50,"[""Well-draining sandy soil"",""Loam soil with good drainage""]","[""Mediterranean climate regions"",""Coastal areas""]","[""Spring"",""Summer""]",40,35,10,48,"[""Diluted liquid succulent fertilizer""]",6,6,12,0.2,"senecio serpens, syn. kleinia repens"
Shrub,Rosa gallica x r. damascena,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Middle East"",""Europe""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,576,2,rosa gallica x r. damascena
Perennial,Crocus neapolitanus,12-16,2-5,10-15,0.2-0.4,2-4,6-8,40-60,"[""Well-drained sandy loam"",""Loamy soil""]","[""Mediterranean region"",""Southwestern United States"",""Southern Europe""]","[""Spring"",""Late winter""]",25,25,20,24-48,"[""Nitrogen-based fertilizers"",""Phosphorus fertilizers""]",4-6,4-6,6,2,crocus neapolitanus
Herbaceous perennial,Hedysarum coronarium,20,3,15,0.3,4,24000,70,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,10,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4,60,24,0.5,hedysarum coronarium
Perennial,Globularia punctata,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Western Europe"",""North Africa""]","[""Spring"",""Summer""]",30,35,20,48,"[""Complete fertilizer"",""Organic compost""]",8,12,12,0.2,globularia punctata
Perennial,Echinops sphaerocephalus,18,5,15,0.3,3,3000,50,"[""Loam"",""Sandy loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,36,100,0.5,echinops sphaerocephalus
Perennial,Echinops ritro,20,5,18,0.4,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Compost"",""Organic fertilizer""]",4,48,12,0.5,echinops ritro
Vegetable,Cucurbita mixta,25,5,20,0.3,4,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Central America"",""South America""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,36,2,cucurbita mixta
Aquatic,Potamogeton Nodosus,20,5,18,0.8,3,6000,70,"[""Silty clay"",""Loamy sand"",""Peat moss""]","[""Ponds"",""Lakes"",""Wetlands""]","[""Spring"",""Summer""]",20,30,10,24,"[""Liquid seaweed fertilizer"",""Organic compost""]",4,48,24,3,potamogeton nodosus
Flowering Plant,Allium spec.,20,10,15,0.3,5,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,50,24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,1,allium spec.
Perennial,Allium montanum,20,5,15,0.2,3,3000,60,"[""Loamy"",""Sandy""]","[""Mountains"",""Grasslands""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,2,allium montanum
Perennial,Allium odorum = ramosum,18,5,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,allium odorum = ramosum
Perennial,Allium moly,15-25,2-5,10-20,0.2-0.4,3-5,24000-28000,40-60,"[""Well-drained"",""Sandy"",""Loamy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",20-30,30-35,10-20,48-72,"[""Nitrogen-based"",""Phosphorous-based"",""Potassium-based""]",6-8,12-18,6-8,1-2,allium moly
Perennial,Allium angulosum,18,5,15,0.3,3,18000,60,"[""Well-drained soil"",""Loamy soil""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer""]",30,30,10,48,"[""Nitrogen-based fertilizers"",""Organic compost""]",4,24,12,4,allium angulosum
Flowering Plant,Allium Carinatum,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK"",""Compost""]",4,24,12,2,allium carinatum
Perennial,Allium oleraceum,15,5,12,0.3,3,3600,60,"[""Loam"",""Clay"",""Silt""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,24,12,2,allium oleraceum
Perennial,Allium nutans,20,5,15,0.3,4,24000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,1,allium nutans
Perennial,Lavandula multifida,20,2,18,0.3,4,6000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""North Africa""]","[""Spring"",""Summer""]",40,35,15,24,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.25,lavandula multifida
Perennial,Lavandula Latifolia,18.5,2.5,15.2,0.25,2.3,25000,50,"[""Sandy loam"",""Well-drained""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,16,0.2,lavandula latifolia
Perennial,Lavandula dentata var. candicans,20,5,18,0.3,3,30000,60,"[""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""California""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,144,0.2,lavandula dentata var. candicans
Perennial,Linum perenne,15,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Compost""]",4,36,24,0.5,linum perenne
Flowering Plant,Linum hirsutum,23,5,18,0.25,4,7200,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,0.5,linum hirsutum
Flowering plant,Linaria genistifolia,15-25,2-5,10-15,0.2-0.4,3-5,6-8,40-60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK fertilizer"",""Compost"",""Bone meal""]",4-6,12,12,0.25,linaria genistifolia
Flowering Plant,Linaria purpurea,18,3.5,15,0.25,2,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.25,linaria purpurea
Perennial,Belamcanda chinensis,20,5,15,0.4,3,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Asia"",""Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,144,0.5,belamcanda chinensis
Perennial,Corydalis cava,15,5,12,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""Shaded Gardens"",""Woodland Areas""]","[""Spring"",""Early Summer""]",30,30,10,48,"[""Organic Fertilizer""]",4,8,12,0.2,corydalis cava
Fungi,Panellus stipticus,18,5,15,0.4,2,6000,80,"[""Well-drained soil"",""Rich organic soil""]","[""Temperate regions"",""Deciduous forests""]","[""Spring"",""Fall""]",25,30,10,48,"[""Organic compost"",""Mushroom fertilizer""]",4,6,12,0.2,panellus stipticus
Flowering Plant,Lilium Speciosum,20,5,18,0.3,4,30000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,20,24,"[""NPK 10-10-10"",""Bone Meal"",""Compost""]",4,48,12,2,lilium spec.
Flowering Plant,Lílium Cándidum,20,5,15,0.4,3,18000,60,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Bone meal""]",4,36,12,4,lílium cándidum
Perennial,Solanum sisymbriifolium,20,5,18,0.3,4,3600,70,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""North America"",""South America"",""Europe""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,36,0.5,solanum sisymbriifolium
Vegetable,Löschen,18,10,15,0.4,5,4800,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Autumn""]",20,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,löschen
Herbaceous perennial,Allium tuberosum syn odorum,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Asia"",""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,allium tuberosum syn odorum
Flowering Plant,Misopates Orontium,20,5,15,0.3,3,6000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Europe"",""Mediterranean Region"",""Western Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.5,misopates orontium
Perennial,Asarina procumbens,16 °C,5 mm,15 °C,0.25 m³/m³,3 mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40 km/h,35 °C,20 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,12 inches,12 inches,0.5 inches,asarina procumbens
Vegetable,Luffa sp.,25,5,20,0.4,3,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,50,48,"[""Organic compost"",""NPK fertilizer""]",4,72,24,2,luffa sp.
Fruit,Solanum quitoense,24,5,20,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Andes Mountains"",""Central America"",""Ecuador""]","[""Spring"",""Summer"",""Fall""]",35,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,120,36,0.5,solanum quitoense
Perennial,Pulmonaria officinalis,15,5,12,0.3,2,24000,70,"[""Loam"",""Sandy loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,30,50,48,"[""Organic matter"",""Slow-release granular fertilizer""]",8,12,18,0.2,pulmonaria officinalis
Fungi,Pleurotus pulmonarius,25,5,22,0.5,3,18000,75,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",30,35,50,24,"[""Compost"",""Manure""]",4,10,12,1,pleurotus pulmenarius
Fungi,Pleurotus pulmonarius,22,5,18,0.4,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Autumn""]",40,35,20,48,"[""Compost"",""Manure""]",4,12,24,2,pleurotus pulmonarius
Perennial,Lupinus sp.,20,10,15,0.4,5,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""South America"",""Europe""]","[""Late spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Bone meal""]",4,48,24,2,lupinus sp.
Perennial Flower,Lupinus Polyphyllus-Hybriden,15-20,2-4,10-15,0.2-0.3,3-5,6-8,40-60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate Regions"",""Cool Coastal Areas""]","[""Spring"",""Summer""]",40,25,10,48-72,"[""Organic Compost"",""Slow-release granular fertilizer""]",4-6,36-48,12-18,0.5-1,lupinus polyphyllus-hybriden
Perennial,Filipendula ulmaria,15-25,3-5,10-20,0.3-0.5,2-4,6-8,50-70,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,40-60,12,0.5-1,filipendula ulmaria
Grass,Hordeum jubatum,20,5,15,0.4,3,3600,50,"[""Sandy loam"",""Clay loam"",""Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,1,hordeum jubatum
Perennial Flower,Malva sylvestris ssp. mauritiana,18,5,15,0.25,3,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean Region"",""Europe"",""North Africa""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release balanced fertilizer""]",4,48,24,0.5,malva sylvestris ssp. mauritiana
Tree,Sequoiadendron giganteum,20,10,15,0.3,5,18000,50,"[""Loam"",""Silt"",""Clay""]","[""Sierra Nevada"",""Coastal Range"",""Rocky Mountains""]","[""Spring"",""Summer"",""Autumn""]",40,40,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,311,10000,1,sequoiadendron giganteum
Perennial,Prunus dulcis,20,5,15,0.3,3,600,60,"[""Loamy"",""Sandy"",""Well-drained""]","[""Mediterranean"",""California"",""Middle East""]","[""Spring"",""Summer""]",30,40,15,48,"[""NPK"",""Compost""]",4,240,36,2,prunus dulcis
Vegetable,Beta vulgaris convar. cicla,18,5,15,0.3,4,3600,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,Every 2 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",Every 4 weeks,24,12,0.5,beta vulgaris convar. cicla
Perennial,Manhiot Esculenta,28,5,25,0.3,3,60000,75,"[""Sandy loam"",""Loamy sand""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round in tropical regions"",""Spring to fall in subtropical regions""]",30,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,120,36,1,manhiot esculenta
Perennial,Eryngium alpinum,15,5,12,0.2,3,300,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.2,eryngium alpinum
Flowering vine,Passiflora sp.,25,10,20,0.3,5,6000,70,"[""Loamy"",""Sandy"",""Well-drained""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start summer""]",50,35,30,48,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4,120,36,1,passiflora sp.
